,phrase,label,sentiment,subjectivity,language,count,topicColor,keywordColor,continent,gnd,geonames,latitude,longitude,geotype,country,ipcc
Katsuta,Katsuta,LOC,0.15722222222222226,0.3111111111111111,fr,2,,,,,,,,,,
Pajari,Pajari,LOC,0.15722222222222226,0.3111111111111111,fr,2,,,,,,,,,,
Evans,Evans,LOC,0.15722222222222226,0.3111111111111111,fr,2,,,,,,,,,,
Neuville,Neuville,LOC,0.15722222222222226,0.3111111111111111,fr,2,,,,,,,,,,
Grand Palais,Grand Palais,LOC,0.21464285714285716,0.18482142857142858,fr,2,,,,,,,,,,
Kaliningrad,Kaliningrad,LOC,-0.011666666666666667,0.08333333333333333,fr,2,,,,,,,,,,
Nsimalen,Nsimalen,LOC,0.09,0.02,fr,2,,,,,,,,,,
Anse,Anse,LOC,0.049999999999999996,0.07500000000000001,fr,2,,,,,,,,,,
Mayence,Mayence,LOC,-0.23399999999999999,0.19,fr,2,,,,,,,,,,
Télérama,Télérama,LOC,0.53,0.5,fr,2,,,,,,,,,,
Bloomberg,Bloomberg,LOC,0.16339285714285717,0.20267857142857143,fr,2,,,,,,,,,,
État de Lougansk,État de Lougansk,LOC,-0.08,0.0,fr,2,,,,,,,,,,
Samsung,Samsung,LOC,0.11333333333333334,11.85,fr,2,,,,,,,,,,
Sydney,Sydney,LOC,0.0725,0.1375,fr,2,,,,,,,,,,
Poissy,Poissy,LOC,-0.012499999999999997,0.25,fr,2,,,,,,,,,,
Marioupol,Marioupol,LOC,-0.007395833333333336,0.09791666666666667,fr,2,,,,,,,,,,
Koupiansk,Koupiansk,LOC,-0.018000000000000006,0.23000000000000004,fr,2,,,,,,,,,,
GUANGZHOU,GUANGZHOU,LOC,0.06,0.06666666666666667,fr,2,,,,,,,,,,
lÉtat,lÉtat,LOC,0.02160714285714286,0.15,fr,2,,,,,,,,,,
lez,lez,LOC,0.09999999999999999,0.049999999999999996,fr,1,,,,,,,,,,
Eurovision 2026,Eurovision 2026,LOC,0.184375,0.3125,fr,1,,,,,,,,,,
Satoshi,Satoshi,LOC,0.184375,0.3125,fr,1,,,,,,,,,,
LETI,LETI,LOC,0.09999999999999999,0.049999999999999996,fr,1,,,,,,,,,,
Pont,Pont,LOC,0.12666666666666668,0.26666666666666666,fr,1,,,,,,,,,,
Marquette,Marquette,LOC,0.09999999999999999,0.049999999999999996,fr,1,,,,,,,,,,
VICTORIA,VICTORIA,LOC,0.2385714285714286,0.17857142857142858,fr,1,,,,,,,,,,
Belligérant,Belligérant,LOC,0.03166666666666667,0.0,fr,1,,,,,,,,,,
Infos,Infos,LOC,0.008571428571428567,0.1285714285714286,fr,1,,,,,,,,,,
Lille,Lille,LOC,0.09999999999999999,0.049999999999999996,fr,1,,,,,,,,,,
Adidas,Adidas,LOC,0.07666666666666667,0.06666666666666667,fr,1,,,,,,,,,,
Lifeaz,Lifeaz,LOC,0.11666666666666664,0.25,fr,1,,,,,,,,,,
empire Bolloré,empire Bolloré,LOC,0.05857142857142857,0.10428571428571429,fr,1,,,,,,,,,,
laube,laube,LOC,0.045000000000000005,0.08333333333333333,fr,1,,,,,,,,,,
lont,lont,LOC,0.11874999999999997,0.38749999999999996,fr,1,,,,,,,,,,
Brics,Brics,LOC,0.11,0.15000000000000002,fr,1,,,,,,,,,,
Nvidia,Nvidia,LOC,0.08,0.1,fr,1,,,,,,,,,,
Démocr,Démocr,LOC,0.15500000000000003,0.1875,fr,1,,,,,,,,,,
Basta !,Basta !,LOC,-0.10099999999999998,0.24,fr,1,,,,,,,,,,
Trujillo,Trujillo,LOC,0.1,0.4125,fr,1,,,,,,,,,,
Viva Moldova,Viva Moldova,LOC,0.184375,0.3125,fr,1,,,,,,,,,,
Norvégien Casper Ruud,Norvégien Casper Ruud,LOC,-0.10666666666666669,0.13333333333333336,fr,1,,,,,,,,,,
Mombasa,Mombasa,LOC,0.10666666666666667,0.1955555555555556,fr,1,,,,,,,,,,
mer ionie,mer ionie,LOC,0.10636363636363635,0.24090909090909093,fr,1,,,,,,,,,,
Visés,Visés,LOC,0.0055555555555555575,0.06333333333333334,fr,1,,,,,,,,,,
Évian,Évian,LOC,0.13333333333333333,0.13333333333333333,fr,1,,,,,,,,,,
Mich,Mich,LOC,0.044444444444444446,0.2666666666666667,fr,1,,,,,,,,,,
Pays de Savoie,Pays de Savoie,LOC,0.13333333333333333,0.13333333333333333,fr,1,,,,,,,,,,
Xi,Xi,LOC,-0.10928571428571429,0.3285714285714286,fr,1,,,,,,,,,,
Jilin,Jilin,LOC,0.0,0.0,fr,1,,,,,,,,,,
Les Jardins de Gaïa,Les Jardins de Gaïa,LOC,0.18000000000000002,0.08333333333333333,fr,1,,,,,,,,,,
Wittisheim,Wittisheim,LOC,0.18000000000000002,0.08333333333333333,fr,1,,,,,,,,,,
lISTP,lISTP,LOC,0.176,0.304,fr,1,,,,,,,,,,
Omal,Omal,LOC,-0.06833333333333333,0.18333333333333335,fr,1,,,,,,,,,,
Leucade,Leucade,LOC,0.10636363636363635,0.24090909090909093,fr,1,,,,,,,,,,
PUNE,PUNE,LOC,0.0,0.0,fr,1,,,,,,,,,,
Norvégiens,Norvégiens,LOC,0.16625,0.23124999999999998,fr,1,,,,,,,,,,
Léditeur,Léditeur,LOC,0.26,0.2333333333333333,fr,1,,,,,,,,,,
pays,pays,LOC,-0.021111111111111112,0.2427777777777778,fr,1,,,,,,,,,,
"1,2 Md de CA 2024","1,2 Md de CA 2024",LOC,0.316,0.4,fr,1,,,,,,,,,,
Lens,Lens,LOC,-0.1,0.1,fr,1,,,,,,,,,,
Occidentaux,Occidentaux,LOC,0.0022222222222222244,0.13888888888888892,fr,1,,,,,,,,,,
État israélien,État israélien,LOC,-0.11599999999999999,0.08,fr,1,,,,,,,,,,
Canadiens,Canadiens,LOC,-0.15499999999999997,0.19375000000000003,fr,1,,,,,,,,,,
Proximus,Proximus,LOC,0.03666666666666667,0.06666666666666667,fr,1,,,,,,,,,,
Irlandaise,Irlandaise,LOC,-0.11599999999999999,0.08,fr,1,,,,,,,,,,
C’,C’,LOC,0.10142857142857144,0.16428571428571428,fr,1,,,,,,,,,,
États membres de l'Union européenne,États membres de l'Union européenne,LOC,-0.09999999999999999,0.18571428571428575,fr,1,,,,,,,,,,
Sanctuaire de bien-être Swastik,Sanctuaire de bien-être Swastik,LOC,0.0,0.0,fr,1,,,,,,,,,,
Clermont Ferrand,Clermont Ferrand,LOC,0.35999999999999993,0.3166666666666667,fr,1,,,,,,,,,,
Overture,Overture,LOC,0.1975,0.26875,fr,1,,,,,,,,,,
Les Etats,Les Etats,LOC,0.03600000000000002,0.18,fr,1,,,,,,,,,,
DIRECT,DIRECT,LOC,0.03600000000000002,0.18,fr,1,,,,,,,,,,
État »,État »,LOC,0.08499999999999999,0.2375,fr,1,,,,,,,,,,
Pirlo,Pirlo,LOC,0.23666666666666666,0.4666666666666666,fr,1,,,,,,,,,,
stade de la Meinau,stade de la Meinau,LOC,0.1975,0.4125,fr,1,,,,,,,,,,
la Meinau,la Meinau,LOC,0.1975,0.4125,fr,1,,,,,,,,,,
9 Mai,9 Mai,LOC,-0.03599999999999999,0.13,fr,1,,,,,,,,,,
